Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
Precious Achiuwa,C,22,TOR,73,1725,0.439,10.2,0.741,0.348,0.274,0.085,0.035,0.259,0.468,0.614,0.345,0.373,0.190,0.359,0.598,0.964,achiupr01
Steven Adams,C,28,MEM,76,1999,0.547,2.9,0.997,0.693,0.260,0.042,0.003,0.003,0.548,0.632,0.350,0.438,0.000,0.000,0.490,,adamsst01
Bam Adebayo,C,24,MIA,56,1825,0.557,7.0,0.992,0.395,0.309,0.200,0.088,0.008,0.562,0.771,0.467,0.404,0.313,0.000,0.608,,adebaba01
Santi Aldama,PF,21,MEM,32,360,0.402,12.0,0.636,0.333,0.205,0.091,0.008,0.364,0.560,0.682,0.444,0.417,0.000,0.125,0.638,1.000,aldamsa01
LaMarcus Aldridge,C,36,BRK,47,1050,0.550,12.3,0.900,0.210,0.170,0.240,0.279,0.100,0.578,0.729,0.513,0.509,0.563,0.304,0.748,1.000,aldrila01
Nickeil Alexander-Walker,SG,23,TOT,65,1466,0.372,15.8,0.503,0.213,0.162,0.071,0.057,0.497,0.433,0.579,0.318,0.375,0.282,0.311,0.399,0.876,alexani01
Grayson Allen,SG,26,MIL,66,1805,0.448,19.2,0.316,0.158,0.097,0.047,0.014,0.684,0.533,0.678,0.400,0.370,0.375,0.409,0.646,0.912,allengr01
Jarrett Allen,C,23,CLE,56,1809,0.677,3.8,0.982,0.624,0.294,0.046,0.018,0.018,0.688,0.809,0.469,0.480,0.600,0.100,0.734,0.000,allenja01
Jose Alvarado,PG,23,NOP,54,834,0.446,13.6,0.626,0.235,0.248,0.099,0.044,0.374,0.538,0.609,0.507,0.483,0.462,0.291,0.303,0.969,alvarjo01
Justin Anderson,SF,28,TOT,16,316,0.379,18.9,0.379,0.147,0.095,0.042,0.095,0.621,0.583,0.714,0.444,0.250,0.667,0.254,0.667,0.933,anderju01
Kyle Anderson,PF,28,MEM,69,1484,0.446,10.7,0.768,0.279,0.303,0.141,0.045,0.232,0.481,0.641,0.437,0.333,0.238,0.330,0.514,0.972,anderky01
Giannis Antetokounmpo,PF,27,MIL,67,2204,0.553,10.0,0.806,0.406,0.198,0.120,0.082,0.194,0.616,0.808,0.421,0.416,0.431,0.293,0.432,0.423,antetgi01
Thanasis Antetokounmpo,SF,29,MIL,48,473,0.547,5.3,0.891,0.672,0.172,0.039,0.008,0.109,0.596,0.686,0.318,0.200,1.000,0.143,0.632,0.500,antetth01
Carmelo Anthony,PF,37,LAL,69,1793,0.441,19.1,0.451,0.101,0.066,0.152,0.131,0.549,0.521,0.671,0.417,0.500,0.484,0.375,0.482,0.919,anthoca01
Cole Anthony,PG,21,ORL,65,2059,0.391,16.2,0.571,0.147,0.214,0.095,0.115,0.429,0.432,0.590,0.385,0.448,0.305,0.338,0.240,0.667,anthoco01
OG Anunoby,SF,24,TOR,48,1728,0.443,15.1,0.545,0.263,0.125,0.080,0.077,0.455,0.511,0.689,0.356,0.393,0.278,0.363,0.464,0.870,anunoog01
Ryan Arcidiacono,PG,27,NYK,10,76,0.500,21.5,0.250,0.000,0.083,0.167,0.000,0.750,0.667,,1.000,0.500,,0.444,1.000,1.000,arcidry01
Trevor Ariza,SF,36,LAL,24,462,0.333,19.3,0.253,0.162,0.081,0.010,0.000,0.747,0.520,0.688,0.250,0.000,,0.270,0.769,1.000,arizatr01
D.J. Augustin,PG,34,TOT,55,883,0.423,20.3,0.261,0.131,0.086,0.018,0.027,0.739,0.448,0.586,0.368,0.250,0.167,0.415,0.308,0.824,augusdj01
Deni Avdija,SF,21,WAS,82,1984,0.432,14.4,0.553,0.221,0.261,0.040,0.031,0.447,0.525,0.633,0.464,0.435,0.389,0.317,0.589,0.939,avdijde01
Joel Ayayi,SG,21,WAS,7,20,0.167,12.6,0.833,0.167,0.333,0.167,0.167,0.167,0.200,0.000,0.000,1.000,0.000,0.000,0.000,,ayayijo01
Deandre Ayton,C,23,PHO,58,1713,0.634,7.0,0.973,0.333,0.397,0.184,0.059,0.027,0.642,0.793,0.588,0.555,0.415,0.368,0.809,1.000,aytonde01
Udoka Azubuike,C,22,UTA,17,195,0.755,2.8,1.000,0.694,0.286,0.020,0.000,0.000,0.755,0.824,0.643,0.000,,,0.892,,azubuud01
Marvin Bagley III,PF,22,TOT,48,1146,0.504,9.2,0.783,0.327,0.363,0.081,0.011,0.217,0.579,0.795,0.457,0.306,0.200,0.237,0.658,0.913,baglema01
LaMelo Ball,PG,20,CHO,75,2422,0.429,15.9,0.549,0.204,0.176,0.104,0.065,0.451,0.462,0.582,0.398,0.389,0.370,0.389,0.264,0.750,ballla01
Lonzo Ball,PG,24,CHI,35,1212,0.423,19.9,0.321,0.154,0.047,0.057,0.063,0.679,0.423,0.610,0.333,0.273,0.167,0.423,0.404,0.845,balllo01
Mo Bamba,C,23,ORL,71,1824,0.480,14.3,0.545,0.285,0.157,0.045,0.057,0.455,0.563,0.727,0.433,0.286,0.314,0.381,0.566,0.991,bambamo01
Desmond Bane,SG,23,MEM,76,2266,0.461,16.8,0.525,0.153,0.156,0.116,0.099,0.475,0.484,0.669,0.384,0.438,0.413,0.436,0.596,0.833,banede01
Dalano Banton,PG,22,TOR,64,696,0.411,11.0,0.748,0.332,0.233,0.119,0.064,0.252,0.464,0.612,0.362,0.292,0.385,0.255,0.329,0.769,bantoda01
Cat Barber,PG,27,ATL,3,13,0.000,9.6,1.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,,,0.000,,,,barbeca01
Harrison Barnes,PF,29,SAC,77,2587,0.469,13.5,0.568,0.237,0.283,0.041,0.007,0.432,0.525,0.682,0.403,0.471,0.500,0.394,0.566,0.951,barneha02
Scottie Barnes,PF,20,TOR,74,2617,0.492,10.9,0.793,0.264,0.325,0.116,0.088,0.207,0.543,0.711,0.502,0.398,0.378,0.301,0.429,0.845,barnesc01
RJ Barrett,SF,21,NYK,70,2417,0.408,12.0,0.662,0.309,0.243,0.068,0.042,0.338,0.442,0.596,0.307,0.309,0.300,0.342,0.398,0.913,barrerj01
Will Barton,SG,31,DEN,71,2277,0.438,16.0,0.520,0.186,0.180,0.067,0.087,0.480,0.504,0.701,0.398,0.433,0.359,0.365,0.498,0.771,bartowi01
Paris Bass,SF,26,PHO,2,7,0.333,11.7,0.667,0.333,0.333,0.000,0.000,0.333,0.500,1.000,0.000,,,0.000,0.500,,basspa01
Charles Bassey,C,21,PHI,23,168,0.638,5.6,0.915,0.574,0.213,0.106,0.021,0.085,0.698,0.741,0.700,0.600,0.000,0.000,0.667,,bassech01
Keita Bates-Diop,SF,26,SAS,59,956,0.517,8.4,0.791,0.502,0.198,0.046,0.046,0.209,0.572,0.682,0.385,0.500,0.250,0.309,0.756,0.941,bateske01
Nicolas Batum,PF,33,LAC,59,1462,0.463,20.2,0.302,0.121,0.044,0.057,0.080,0.698,0.607,0.809,0.412,0.636,0.387,0.400,0.831,0.972,batumni01
Kent Bazemore,SF,32,LAL,39,545,0.324,18.1,0.424,0.173,0.094,0.058,0.101,0.576,0.271,0.333,0.308,0.125,0.214,0.363,0.813,0.931,bazemke01
Darius Bazley,PF,21,OKC,69,1924,0.422,12.7,0.586,0.307,0.251,0.011,0.017,0.414,0.511,0.613,0.405,0.571,0.182,0.297,0.639,0.950,bazleda01
Bradley Beal,SG,28,WAS,40,1439,0.451,13.1,0.728,0.197,0.252,0.171,0.108,0.272,0.508,0.697,0.407,0.470,0.458,0.300,0.365,0.603,bealbr01
Malik Beasley,SG,25,MIN,79,1976,0.391,20.8,0.251,0.088,0.066,0.052,0.045,0.749,0.432,0.587,0.357,0.341,0.342,0.377,0.652,0.904,beaslma01
Jordan Bell,C,27,CHI,1,2,,,,,,,,,,,,,,,,,belljo01
DeAndre' Bembry,SF,27,TOT,56,1026,0.561,6.2,0.837,0.584,0.249,0.000,0.005,0.163,0.589,0.667,0.418,,0.000,0.417,0.725,1.000,bembrde01
Dāvis Bertāns,PF,29,TOT,56,807,0.360,23.0,0.164,0.065,0.069,0.015,0.015,0.836,0.489,0.611,0.421,0.000,0.750,0.335,0.864,0.987,bertada01
Patrick Beverley,PG,33,MIN,58,1476,0.406,16.6,0.445,0.170,0.206,0.050,0.018,0.555,0.485,0.568,0.433,0.545,0.125,0.343,0.255,0.783,beverpa01
Saddiq Bey,SF,22,DET,82,2704,0.396,17.4,0.463,0.166,0.157,0.072,0.068,0.537,0.454,0.619,0.348,0.329,0.429,0.346,0.431,0.891,beysa01
Khem Birch,C,29,TOR,55,991,0.485,6.4,0.930,0.405,0.360,0.160,0.005,0.070,0.522,0.593,0.500,0.406,0.000,0.000,0.804,,birchkh01
Goga Bitadze,C,22,IND,50,729,0.520,10.4,0.683,0.468,0.175,0.032,0.008,0.317,0.628,0.737,0.409,0.375,0.000,0.288,0.694,1.000,bitadgo01
Bismack Biyombo,C,29,PHO,36,506,0.593,4.3,1.000,0.517,0.393,0.083,0.007,0.000,0.593,0.747,0.474,0.250,0.000,,0.744,,biyombi01
Nemanja Bjelica,C,33,GSW,71,1142,0.468,14.1,0.564,0.260,0.260,0.023,0.020,0.436,0.549,0.674,0.438,0.500,0.429,0.362,0.689,0.944,bjeline01
Eric Bledsoe,PG,32,LAC,54,1361,0.421,14.2,0.652,0.231,0.194,0.107,0.120,0.348,0.479,0.611,0.462,0.440,0.286,0.313,0.301,0.902,bledser01
Keljin Blevins,SF,26,POR,31,349,0.306,18.4,0.351,0.207,0.063,0.027,0.054,0.649,0.333,0.391,0.286,0.000,0.333,0.292,0.615,0.857,blevike01
Bogdan Bogdanović,SG,29,ATL,63,1848,0.431,18.6,0.422,0.113,0.115,0.108,0.086,0.578,0.516,0.622,0.440,0.523,0.471,0.368,0.382,0.793,bogdabo01
Bojan Bogdanović,PF,32,UTA,69,2131,0.455,15.6,0.496,0.147,0.250,0.084,0.015,0.504,0.524,0.684,0.483,0.410,0.286,0.387,0.568,0.917,bogdabo02
Bol Bol,PF,22,DEN,14,81,0.556,10.6,0.852,0.296,0.185,0.296,0.074,0.148,0.609,0.875,0.800,0.375,0.000,0.250,1.000,1.000,bolbo01
Leandro Bolmaro,SF,21,MIN,35,241,0.315,13.7,0.667,0.352,0.111,0.074,0.130,0.333,0.333,0.474,0.167,0.500,0.000,0.278,0.583,0.800,bolmale01
Isaac Bonga,SF,22,TOR,15,69,0.231,11.0,0.692,0.385,0.231,0.000,0.077,0.308,0.222,0.200,0.333,,0.000,0.250,0.500,1.000,bongais01
Devin Booker,SG,25,PHO,68,2345,0.466,16.1,0.664,0.110,0.158,0.224,0.171,0.336,0.508,0.694,0.476,0.469,0.469,0.383,0.399,0.634,bookede01
Brandon Boston Jr.,SG,20,LAC,51,760,0.385,14.7,0.658,0.258,0.126,0.123,0.151,0.342,0.425,0.631,0.122,0.450,0.306,0.306,0.615,0.588,bostobr01
Chris Boucher,SF,29,TOR,80,1690,0.464,12.1,0.603,0.430,0.113,0.026,0.035,0.397,0.575,0.661,0.400,0.400,0.200,0.297,0.670,0.985,bouchch01
James Bouknight,SG,21,CHO,31,304,0.348,12.0,0.652,0.333,0.241,0.043,0.035,0.348,0.348,0.553,0.147,0.000,0.200,0.347,0.438,0.765,bouknja01
Avery Bradley,SG,31,LAL,62,1406,0.423,18.1,0.400,0.137,0.091,0.083,0.089,0.600,0.471,0.604,0.281,0.483,0.452,0.390,0.636,0.939,bradlav01
Tony Bradley,C,24,CHI,55,549,0.585,3.9,1.000,0.626,0.252,0.065,0.057,0.000,0.585,0.649,0.484,0.375,0.571,,0.750,,bradlto01
Ignas Brazdeikis,SF,23,ORL,42,536,0.431,14.0,0.537,0.293,0.202,0.027,0.016,0.463,0.535,0.636,0.421,0.200,0.667,0.310,0.574,0.926,brazdig01
Mikal Bridges,SF,25,PHO,82,2854,0.534,13.3,0.636,0.227,0.205,0.159,0.045,0.364,0.628,0.795,0.619,0.507,0.256,0.369,0.764,0.983,bridgmi01
Miles Bridges,PF,23,CHO,80,2837,0.491,12.4,0.617,0.357,0.212,0.020,0.029,0.383,0.590,0.723,0.412,0.458,0.343,0.331,0.597,0.825,bridgmi02
Oshae Brissett,SF,23,IND,67,1564,0.411,13.9,0.532,0.326,0.152,0.024,0.030,0.468,0.465,0.582,0.299,0.167,0.267,0.350,0.672,0.964,brissos01
Malcolm Brogdon,PG,29,IND,36,1206,0.448,13.2,0.657,0.285,0.192,0.103,0.077,0.343,0.518,0.632,0.452,0.411,0.405,0.312,0.249,0.586,brogdma01
Armoni Brooks,SG-PG,23,TOT,54,844,0.339,23.4,0.138,0.083,0.035,0.010,0.010,0.862,0.600,0.708,0.600,0.000,0.333,0.297,0.667,0.824,brookar01
Dillon Brooks,SF,26,MEM,32,885,0.432,13.3,0.717,0.196,0.249,0.186,0.086,0.283,0.480,0.680,0.389,0.398,0.467,0.309,0.470,0.826,brookdi01
Bruce Brown,SF,25,BRK,72,1774,0.506,8.4,0.814,0.393,0.302,0.103,0.016,0.186,0.529,0.693,0.379,0.404,0.125,0.404,0.743,0.974,brownbr01
Charlie Brown Jr.,SG,24,TOT,22,177,0.256,11.0,0.692,0.385,0.205,0.077,0.026,0.308,0.333,0.467,0.250,0.000,0.000,0.083,0.444,1.000,brownch02
Chaundee Brown Jr.,SG-SF,23,TOT,5,104,0.313,17.9,0.438,0.188,0.094,0.156,0.000,0.563,0.286,0.500,0.000,0.200,,0.333,0.500,1.000,brownch05
Greg Brown III,SF,20,POR,48,640,0.426,10.7,0.679,0.447,0.158,0.016,0.058,0.321,0.481,0.635,0.200,0.333,0.091,0.311,0.645,1.000,browngr01
Jaylen Brown,SF,25,BOS,66,2220,0.473,14.5,0.619,0.200,0.234,0.094,0.091,0.381,0.544,0.765,0.425,0.474,0.441,0.358,0.471,0.759,brownja02
Moses Brown,C,22,TOT,40,345,0.593,2.5,1.000,0.750,0.231,0.009,0.009,0.000,0.593,0.642,0.480,0.000,0.000,,0.813,,brownmo01
Sterling Brown,SG,26,DAL,49,628,0.381,17.1,0.406,0.206,0.116,0.039,0.045,0.594,0.492,0.625,0.278,0.333,0.571,0.304,0.774,0.857,brownst02
Troy Brown Jr.,SF,22,CHI,66,1055,0.419,15.0,0.484,0.283,0.132,0.027,0.043,0.516,0.488,0.562,0.412,0.143,0.455,0.353,0.672,0.957,browntr01
Jalen Brunson,SG,25,DAL,79,2524,0.502,13.1,0.750,0.147,0.288,0.189,0.126,0.250,0.545,0.703,0.524,0.518,0.449,0.373,0.262,0.809,brunsja01
Thomas Bryant,C,24,WAS,27,439,0.520,11.5,0.716,0.385,0.169,0.034,0.128,0.284,0.613,0.754,0.480,0.200,0.474,0.286,0.738,1.000,bryanth01
Shaq Buchanan,SG,25,MEM,2,10,0.250,13.6,0.500,0.500,0.000,0.000,0.000,0.500,0.500,0.500,,,,0.000,1.000,,buchash01
Reggie Bullock,SF,30,DAL,68,1902,0.401,20.9,0.218,0.096,0.048,0.032,0.042,0.782,0.550,0.688,0.292,0.688,0.429,0.360,0.767,0.986,bullore01
Trey Burke,PG,29,DAL,42,441,0.391,17.0,0.619,0.098,0.163,0.126,0.233,0.381,0.436,0.714,0.429,0.444,0.320,0.317,0.259,0.846,burketr01
Alec Burks,SG,30,NYK,81,2318,0.391,17.4,0.466,0.124,0.165,0.111,0.066,0.534,0.378,0.444,0.342,0.358,0.375,0.404,0.430,0.752,burksal01
Jared Butler,SG,21,UTA,42,360,0.404,18.4,0.417,0.066,0.232,0.066,0.053,0.583,0.524,0.600,0.429,0.600,0.750,0.318,0.182,0.500,butleja02
Jimmy Butler,SF,32,MIA,57,1931,0.480,9.6,0.860,0.306,0.291,0.195,0.068,0.140,0.520,0.701,0.415,0.457,0.339,0.233,0.377,0.778,butleji01
Devontae Cacok,PF,25,SAS,15,121,0.677,4.6,1.000,0.387,0.484,0.129,0.000,0.000,0.677,0.833,0.533,0.750,,,0.667,,cacokde01
Kentavious Caldwell-Pope,SG,28,WAS,77,2329,0.435,18.1,0.508,0.105,0.117,0.112,0.175,0.492,0.480,0.678,0.361,0.430,0.469,0.390,0.619,0.912,caldwke01
Facundo Campazzo,PG,30,DEN,65,1184,0.361,19.4,0.348,0.149,0.142,0.041,0.017,0.652,0.476,0.614,0.381,0.250,0.600,0.301,0.388,0.741,campafa01
Vlatko Čančar,PF,24,DEN,15,176,0.561,10.6,0.707,0.390,0.195,0.098,0.024,0.293,0.552,0.750,0.375,0.250,0.000,0.583,0.938,1.000,cancavl01
Devin Cannady,PG,25,ORL,5,145,0.341,22.5,0.159,0.045,0.045,0.045,0.023,0.841,0.000,0.000,0.000,0.000,0.000,0.405,,1.000,cannade01
Clint Capela,C,27,ATL,74,2042,0.613,2.2,0.998,0.765,0.225,0.007,0.002,0.002,0.614,0.684,0.382,0.500,0.000,0.000,0.765,,capelca01
Vernon Carey Jr.,C,20,TOT,7,44,0.538,8.2,1.000,0.615,0.000,0.077,0.308,0.000,0.538,0.750,,0.000,0.250,,0.286,,careyve01
Jevon Carter,PG,26,TOT,66,905,0.387,21.2,0.328,0.055,0.043,0.067,0.162,0.672,0.386,0.429,0.273,0.471,0.366,0.388,0.438,0.773,carteje01
Wendell Carter Jr.,PF,22,ORL,62,1852,0.525,12.1,0.687,0.327,0.202,0.101,0.057,0.313,0.615,0.781,0.457,0.478,0.462,0.327,0.609,1.000,cartewe01
Alex Caruso,SG,27,CHI,41,1147,0.398,15.4,0.508,0.258,0.145,0.043,0.063,0.492,0.462,0.591,0.324,0.364,0.313,0.333,0.567,0.929,carusal01
Willie Cauley-Stein,C,28,TOT,20,183,0.457,5.3,0.943,0.629,0.200,0.057,0.057,0.057,0.455,0.545,0.143,1.000,0.000,0.500,0.800,1.000,caulewi01
Ahmad Caver,SG,25,IND,1,1,1.000,1.8,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,,,,,1.000,,caverah01
Justin Champagnie,SF,20,TOR,36,281,0.463,11.7,0.582,0.358,0.209,0.015,0.000,0.418,0.538,0.625,0.429,0.000,,0.357,0.571,1.000,champju01
Zylan Cheatham,SF,26,UTA,1,5,0.000,17.2,0.333,0.333,0.000,0.000,0.000,0.667,0.000,0.000,,,,0.000,,,cheatzy01
Chris Chiozza,PG,26,GSW,34,372,0.296,19.4,0.346,0.111,0.136,0.049,0.049,0.654,0.250,0.222,0.273,0.000,0.500,0.321,0.143,0.765,chiozch01
Marquese Chriss,PF,24,DAL,34,346,0.463,7.8,0.813,0.530,0.254,0.015,0.015,0.187,0.495,0.592,0.265,1.000,0.500,0.320,0.833,1.000,chrisma01
Josh Christopher,SG,20,HOU,74,1334,0.448,13.3,0.622,0.300,0.188,0.114,0.020,0.378,0.540,0.647,0.532,0.333,0.200,0.296,0.423,0.768,chrisjo01
Gary Clark,PF,27,NOP,38,378,0.375,20.1,0.205,0.091,0.102,0.011,0.000,0.795,0.278,0.125,0.444,0.000,,0.400,0.800,0.964,clarkga01
Brandon Clarke,PF,25,MEM,64,1246,0.644,5.4,0.951,0.508,0.311,0.116,0.016,0.049,0.666,0.775,0.568,0.462,0.571,0.227,0.700,1.000,clarkbr01
Jordan Clarkson,SG,29,UTA,79,2141,0.419,16.9,0.464,0.099,0.272,0.075,0.018,0.536,0.535,0.627,0.515,0.554,0.250,0.318,0.221,0.674,clarkjo01
Nic Claxton,C,22,BRK,47,974,0.674,2.5,1.000,0.697,0.284,0.019,0.000,0.000,0.674,0.815,0.347,0.400,,,0.736,,claxtni01
Amir Coffey,SG,24,LAC,69,1567,0.453,16.8,0.455,0.165,0.167,0.077,0.045,0.545,0.542,0.779,0.449,0.417,0.238,0.378,0.591,0.938,coffeam01
John Collins,PF,24,ATL,54,1663,0.526,11.0,0.727,0.334,0.211,0.127,0.054,0.273,0.588,0.753,0.463,0.439,0.400,0.364,0.793,0.984,collijo01
Zach Collins,C,24,SAS,28,502,0.490,11.0,0.735,0.290,0.316,0.065,0.065,0.265,0.544,0.756,0.347,0.500,0.600,0.341,0.742,1.000,colliza01
Darren Collison,PG,34,LAL,3,37,0.286,16.1,0.571,0.286,0.000,0.000,0.286,0.429,0.500,1.000,,,0.000,0.000,1.000,,collida01
Mike Conley,PG,34,UTA,72,2058,0.435,17.1,0.477,0.075,0.268,0.109,0.025,0.523,0.464,0.559,0.453,0.442,0.400,0.408,0.257,0.521,conlemi01
Pat Connaughton,SF,29,MIL,65,1691,0.458,20.2,0.254,0.161,0.065,0.022,0.006,0.746,0.643,0.725,0.500,0.636,0.000,0.395,0.778,0.952,connapa01
Tyler Cook,PF,24,CHI,20,200,0.605,2.2,1.000,0.684,0.316,0.000,0.000,0.000,0.605,0.692,0.417,,,,0.783,,cookty01
Sharife Cooper,PG,20,ATL,13,39,0.214,11.6,0.571,0.500,0.071,0.000,0.000,0.429,0.250,0.143,1.000,,,0.167,0.500,0.000,coopesh01
Petr Cornelie,PF,26,DEN,13,38,0.333,15.9,0.467,0.333,0.067,0.000,0.067,0.533,0.571,0.600,1.000,,0.000,0.125,1.000,1.000,cornepe01
DeMarcus Cousins,C,31,TOT,48,718,0.460,12.1,0.623,0.361,0.225,0.015,0.022,0.377,0.554,0.650,0.452,0.200,0.286,0.303,0.598,1.000,couside01
