Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
T.J. McConnell,PG,29,IND,27,652,0.481,10.0,0.841,0.274,0.332,0.173,0.063,0.159,0.514,0.561,0.565,0.417,0.308,0.303,0.256,0.900,mccontj01
Jaden McDaniels,PF,21,MIN,70,1803,0.460,13.8,0.545,0.283,0.179,0.054,0.029,0.455,0.579,0.726,0.364,0.533,0.563,0.317,0.720,0.988,mcdanja02
Jalen McDaniels,SF,24,CHO,55,895,0.484,13.4,0.575,0.283,0.224,0.051,0.016,0.425,0.562,0.750,0.386,0.231,0.750,0.380,0.610,1.000,mcdanja01
Doug McDermott,PF,30,SAS,51,1223,0.462,16.6,0.449,0.176,0.185,0.060,0.028,0.551,0.512,0.646,0.395,0.464,0.538,0.422,0.850,0.991,mcderdo01
JaVale McGee,C,34,PHO,74,1172,0.629,4.3,0.980,0.535,0.371,0.052,0.022,0.020,0.637,0.706,0.588,0.375,0.400,0.222,0.692,1.000,mcgeeja01
Cameron McGriff,SF,24,POR,3,46,0.357,13.0,0.571,0.357,0.143,0.000,0.071,0.429,0.375,0.400,0.500,,0.000,0.333,0.667,0.000,mcgrica01
Rodney McGruder,SG,30,DET,51,754,0.436,18.2,0.351,0.169,0.120,0.044,0.018,0.649,0.506,0.605,0.370,0.400,0.750,0.397,0.650,1.000,mcgruro01
Alfonzo McKinnie,SF,29,CHI,17,206,0.393,14.1,0.557,0.311,0.082,0.082,0.082,0.443,0.441,0.526,0.600,0.000,0.400,0.333,0.733,1.000,mckinal01
JaQuori McLaughlin,PG,24,DAL,4,11,0.000,21.9,0.500,0.000,0.000,0.000,0.500,0.500,0.000,,,,0.000,0.000,,,mclauja01
Jordan McLaughlin,PG,25,MIN,62,902,0.440,13.3,0.575,0.290,0.230,0.050,0.005,0.425,0.530,0.707,0.326,0.400,1.000,0.318,0.492,0.852,mclaujo01
Ben McLemore,SG,28,POR,64,1285,0.401,21.9,0.226,0.091,0.033,0.006,0.096,0.774,0.533,0.694,0.389,0.333,0.442,0.362,0.846,0.967,mclembe01
De'Anthony Melton,SG,23,MEM,73,1657,0.404,17.2,0.465,0.167,0.164,0.068,0.066,0.535,0.440,0.595,0.368,0.383,0.283,0.374,0.472,0.856,meltode01
Sam Merrill,SG,25,MEM,6,58,0.333,24.4,0.042,0.042,0.000,0.000,0.000,0.958,1.000,1.000,,,,0.304,1.000,0.714,merrisa01
Chimezie Metu,C,24,SAC,60,1279,0.452,14.0,0.586,0.229,0.223,0.085,0.049,0.414,0.555,0.718,0.490,0.368,0.409,0.306,0.740,0.965,metuch01
Khris Middleton,SF,30,MIL,66,2141,0.443,17.3,0.575,0.104,0.140,0.189,0.142,0.425,0.494,0.736,0.406,0.503,0.393,0.373,0.331,0.630,middlkh01
C.J. Miles,SG,34,BOS,1,2,,,,,,,,,,,,,,,,,milescj01
Patty Mills,SG,33,BRK,81,2346,0.408,21.4,0.285,0.064,0.037,0.065,0.118,0.715,0.429,0.745,0.207,0.365,0.362,0.400,0.619,0.925,millspa02
Paul Millsap,C,36,TOT,33,376,0.391,10.9,0.696,0.357,0.243,0.087,0.009,0.304,0.463,0.537,0.429,0.300,0.000,0.229,0.486,1.000,millspa01
Shake Milton,SG,25,PHI,55,1179,0.429,13.4,0.670,0.199,0.278,0.136,0.057,0.330,0.481,0.700,0.402,0.400,0.304,0.323,0.369,0.930,miltosh01
Davion Mitchell,PG,23,SAC,75,2076,0.418,15.6,0.620,0.189,0.154,0.108,0.170,0.380,0.480,0.642,0.438,0.352,0.420,0.316,0.231,0.663,mitchda01
Donovan Mitchell,SG,25,UTA,67,2266,0.448,16.7,0.525,0.140,0.236,0.077,0.072,0.475,0.533,0.708,0.465,0.519,0.434,0.355,0.177,0.483,mitchdo01
Evan Mobley,PF,20,CLE,69,2331,0.508,8.4,0.889,0.364,0.307,0.143,0.075,0.111,0.541,0.758,0.380,0.445,0.323,0.250,0.652,0.957,mobleev01
Malik Monk,SG,23,LAL,76,2139,0.473,16.3,0.465,0.229,0.162,0.034,0.040,0.535,0.568,0.725,0.448,0.393,0.303,0.391,0.546,0.832,monkma01
Greg Monroe,C,31,TOT,14,195,0.561,3.1,1.000,0.632,0.351,0.000,0.018,0.000,0.561,0.694,0.350,,0.000,,0.563,,monrogr01
Moses Moody,SG,19,GSW,52,607,0.437,17.5,0.399,0.213,0.082,0.049,0.055,0.601,0.548,0.641,0.467,0.667,0.200,0.364,0.700,1.000,moodymo01
Xavier Moon,SG,27,LAC,10,137,0.490,16.4,0.725,0.098,0.137,0.176,0.314,0.275,0.541,0.400,0.286,0.556,0.688,0.357,0.150,0.600,moonxa01
Matt Mooney,SG,24,NYK,1,2,0.000,25.1,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,moonema01
Ja Morant,PG,22,MEM,57,1889,0.493,10.3,0.782,0.332,0.291,0.135,0.025,0.218,0.534,0.706,0.433,0.384,0.241,0.344,0.248,0.511,moranja01
Juwan Morgan,PF,24,TOT,2,31,0.667,17.1,0.333,0.333,0.000,0.000,0.000,0.667,1.000,1.000,,,,0.500,1.000,1.000,morgaju01
Jaylen Morris,SG,26,SAS,3,16,0.000,11.6,0.667,0.500,0.167,0.000,0.000,0.333,0.000,0.000,0.000,,,0.000,,,morrija01
Marcus Morris,PF,32,LAC,54,1564,0.434,17.6,0.602,0.046,0.145,0.240,0.171,0.398,0.478,0.688,0.490,0.470,0.424,0.367,0.327,0.901,morrima03
Markieff Morris,PF,32,MIA,17,298,0.474,14.8,0.658,0.140,0.175,0.228,0.114,0.342,0.547,0.750,0.450,0.500,0.538,0.333,0.512,1.000,morrima02
Monte Morris,PG,26,DEN,75,2239,0.484,16.1,0.594,0.155,0.137,0.132,0.169,0.406,0.545,0.725,0.491,0.490,0.466,0.395,0.472,0.935,morrimo01
Emmanuel Mudiay,PG,25,SAC,2,11,0.000,13.0,1.000,0.000,0.000,1.000,0.000,0.000,0.000,,,0.000,,,,,mudiaem01
Mychal Mulder,PG,27,TOT,17,239,0.312,19.7,0.299,0.117,0.104,0.026,0.052,0.701,0.304,0.556,0.000,0.500,0.250,0.315,0.571,1.000,muldemy01
Ade Murkey,SG,24,SAC,1,1,,,,,,,,,,,,,,,,,murkead01
Trey Murphy III,SF,21,NOP,62,864,0.394,18.5,0.329,0.199,0.087,0.018,0.025,0.671,0.418,0.582,0.167,0.200,0.143,0.382,0.579,0.972,murphtr02
Dejounte Murray,PG,25,SAS,68,2366,0.462,12.7,0.763,0.214,0.206,0.226,0.116,0.237,0.504,0.665,0.418,0.456,0.451,0.327,0.189,0.698,murrade01
Mike Muscala,C,30,OKC,43,592,0.456,19.6,0.343,0.129,0.097,0.089,0.028,0.657,0.506,0.688,0.458,0.318,0.429,0.429,0.814,1.000,muscami01
Svi Mykhailiuk,SF,24,TOR,56,716,0.389,17.0,0.427,0.218,0.098,0.060,0.051,0.573,0.500,0.588,0.522,0.286,0.333,0.306,0.540,0.951,mykhasv01
Abdel Nader,SF,28,PHO,14,145,0.343,12.9,0.600,0.314,0.286,0.000,0.000,0.400,0.381,0.727,0.000,,,0.286,0.500,1.000,naderab01
Larry Nance Jr.,C-PF,29,TOT,46,1040,0.522,9.9,0.717,0.466,0.170,0.057,0.024,0.283,0.599,0.704,0.476,0.214,0.333,0.329,0.689,1.000,nancela02
RJ Nembhard Jr.,SG,22,CLE,14,63,0.333,8.0,0.889,0.389,0.333,0.111,0.056,0.111,0.375,0.857,0.000,0.000,0.000,0.000,0.500,,nembhrj01
Aaron Nesmith,SF,22,BOS,52,574,0.396,18.4,0.368,0.126,0.154,0.033,0.055,0.632,0.612,0.870,0.464,0.167,0.700,0.270,0.805,0.935,nesmiaa01
Raul Neto,PG,29,WAS,70,1372,0.463,12.0,0.728,0.231,0.313,0.159,0.025,0.272,0.526,0.667,0.449,0.471,0.545,0.292,0.331,0.686,netora01
Malik Newman,PG,24,CLE,1,8,0.600,14.8,0.800,0.200,0.000,0.400,0.200,0.200,0.750,1.000,,1.000,0.000,0.000,0.667,,newmama01
Georges Niang,PF,28,PHI,76,1736,0.437,19.1,0.313,0.119,0.153,0.032,0.009,0.687,0.511,0.627,0.465,0.389,0.200,0.403,0.711,0.981,niangge01
Daishen Nix,SG,19,HOU,24,261,0.403,12.7,0.612,0.358,0.239,0.000,0.015,0.388,0.488,0.667,0.250,,0.000,0.269,0.400,0.714,nixda01
Zeke Nnaji,PF,21,DEN,41,698,0.516,13.1,0.570,0.355,0.156,0.005,0.054,0.430,0.557,0.727,0.241,0.000,0.400,0.463,0.576,0.946,nnajize01
Nerlens Noel,C,27,NYK,25,562,0.533,5.9,0.950,0.533,0.250,0.167,0.000,0.050,0.561,0.563,0.533,0.600,,0.000,0.750,,noelne01
Jaylen Nowell,SG,22,MIN,62,975,0.475,14.1,0.613,0.203,0.225,0.143,0.041,0.387,0.526,0.679,0.430,0.508,0.353,0.394,0.429,0.778,nowelja01
Frank Ntilikina,SG,23,DAL,58,685,0.399,17.5,0.502,0.117,0.157,0.094,0.135,0.498,0.455,0.462,0.429,0.429,0.500,0.342,0.529,0.895,ntilila01
Jusuf Nurkić,C,27,POR,56,1579,0.535,5.9,0.907,0.490,0.350,0.030,0.037,0.093,0.563,0.653,0.481,0.278,0.364,0.268,0.627,0.933,nurkiju01
David Nwaba,SF,29,HOU,46,609,0.483,9.0,0.722,0.511,0.193,0.017,0.000,0.278,0.551,0.656,0.294,0.333,,0.306,0.543,1.000,nwabada01
Jordan Nwora,SF,23,MIL,62,1185,0.403,16.8,0.509,0.188,0.130,0.097,0.093,0.491,0.455,0.667,0.350,0.333,0.302,0.348,0.617,0.747,nworajo01
Royce O'Neale,SF,28,UTA,77,2406,0.457,18.7,0.311,0.194,0.106,0.011,0.000,0.689,0.609,0.686,0.532,0.000,,0.389,0.679,0.983,onealro01
Semi Ojeleye,PF,27,TOT,30,406,0.303,16.5,0.495,0.091,0.263,0.141,0.000,0.505,0.306,0.667,0.269,0.143,,0.300,0.733,0.800,ojelese01
Chuma Okeke,PF,23,ORL,70,1749,0.376,18.6,0.355,0.137,0.139,0.045,0.033,0.645,0.480,0.658,0.413,0.346,0.211,0.318,0.531,0.966,okekech01
Josh Okogie,SG,23,MIN,49,516,0.404,12.3,0.548,0.365,0.173,0.010,0.000,0.452,0.491,0.526,0.444,0.000,,0.298,0.607,1.000,okogijo01
Onyeka Okongwu,C,21,ATL,48,992,0.690,2.7,1.000,0.677,0.296,0.027,0.000,0.000,0.690,0.765,0.522,0.667,,,0.795,,okongon01
Isaac Okoro,SF,21,CLE,67,1981,0.480,10.4,0.636,0.487,0.123,0.009,0.016,0.364,0.555,0.648,0.264,0.250,0.143,0.350,0.717,0.945,okorois01
KZ Okpala,PF,22,MIA,21,244,0.435,12.0,0.623,0.319,0.232,0.058,0.014,0.377,0.488,0.545,0.500,0.250,0.000,0.346,0.762,1.000,okpalkz01
Victor Oladipo,SG,29,MIA,8,173,0.479,16.9,0.507,0.247,0.096,0.082,0.082,0.493,0.541,0.667,0.286,0.667,0.333,0.417,0.250,0.467,oladivi01
Cameron Oliver,SF,25,ATL,2,43,0.667,7.8,0.800,0.600,0.133,0.000,0.067,0.200,0.750,0.667,1.000,,1.000,0.333,0.778,1.000,oliveca01
Kelly Olynyk,C,30,DET,40,764,0.448,14.2,0.584,0.301,0.175,0.045,0.063,0.416,0.527,0.640,0.380,0.385,0.500,0.336,0.625,0.875,olynyke01
Eugene Omoruyi,SF,24,DAL,4,18,0.400,17.7,0.600,0.000,0.200,0.200,0.200,0.400,0.333,,1.000,0.000,0.000,0.500,0.000,1.000,omorueu01
Miye Oni,SG,24,UTA,16,44,0.222,21.8,0.111,0.111,0.000,0.000,0.000,0.889,1.000,1.000,,,,0.125,0.000,1.000,onimi01
Cedi Osman,SF,26,CLE,66,1462,0.432,17.9,0.372,0.227,0.107,0.017,0.021,0.628,0.559,0.654,0.443,0.200,0.417,0.357,0.689,0.867,osmande01
Daniel Oturu,C,22,TOR,3,27,0.500,6.8,0.833,0.500,0.333,0.000,0.000,0.167,0.600,0.667,0.500,,,0.000,0.333,,oturuda01
Kelly Oubre Jr.,SF,26,CHO,76,1999,0.440,16.9,0.407,0.231,0.121,0.042,0.013,0.593,0.578,0.716,0.425,0.308,0.417,0.345,0.612,0.932,oubreke01
Jaysean Paige,PG,27,DET,1,7,0.000,23.7,0.333,0.000,0.000,0.000,0.333,0.667,0.000,,,,0.000,0.000,,,paigeja01
Trayvon Palmer,SG,27,DET,1,17,0.000,4.0,1.000,0.000,1.000,0.000,0.000,0.000,0.000,,0.000,,,,,,palmetr01
Kevin Pangos,PG,29,CLE,24,166,0.326,17.8,0.435,0.109,0.239,0.043,0.043,0.565,0.450,0.600,0.364,0.500,0.500,0.231,0.111,0.333,pangoke01
Jabari Parker,PF,26,BOS,12,112,0.474,16.6,0.579,0.211,0.184,0.026,0.158,0.421,0.455,0.750,0.286,0.000,0.333,0.500,0.600,0.875,parkeja01
Eric Paschall,PF,25,UTA,58,736,0.485,13.4,0.540,0.315,0.183,0.034,0.009,0.460,0.583,0.649,0.512,0.250,1.000,0.370,0.581,0.950,pascher01
Chris Paul,PG,36,PHO,65,2139,0.493,16.4,0.730,0.034,0.158,0.346,0.192,0.270,0.559,0.720,0.543,0.592,0.482,0.317,0.097,0.413,paulch01
Cameron Payne,PG,27,PHO,58,1278,0.409,13.8,0.641,0.187,0.300,0.112,0.041,0.359,0.449,0.536,0.381,0.530,0.333,0.336,0.183,0.634,payneca01
Elfrid Payton,PG,27,PHO,50,549,0.383,8.0,0.897,0.263,0.491,0.097,0.046,0.103,0.401,0.500,0.372,0.353,0.250,0.222,0.270,0.750,paytoel01
Gary Payton II,SG,29,GSW,71,1247,0.616,10.4,0.651,0.398,0.244,0.003,0.006,0.349,0.754,0.825,0.655,0.000,0.500,0.358,0.787,1.000,paytoga02
Norvel Pelle,C,28,UTA,3,19,0.600,0.4,1.000,1.000,0.000,0.000,0.000,0.000,0.600,0.600,,,,,0.667,,pelleno01
Reggie Perry,PF,21,TOT,10,187,0.506,10.5,0.797,0.342,0.266,0.089,0.101,0.203,0.587,0.815,0.333,0.429,0.625,0.188,0.676,1.000,perryre01
Jamorko Pickett,PF,24,DET,13,176,0.360,21.1,0.220,0.040,0.160,0.000,0.020,0.780,0.455,0.500,0.500,,0.000,0.333,0.800,0.923,pickeja01
Theo Pinson,SF,26,DAL,19,148,0.359,21.9,0.231,0.051,0.077,0.026,0.077,0.769,0.444,0.500,0.333,0.000,0.667,0.333,0.250,0.900,pinsoth01
Mason Plumlee,C,31,CHO,73,1793,0.641,3.1,0.994,0.681,0.266,0.044,0.003,0.006,0.645,0.752,0.424,0.357,0.000,0.000,0.776,,plumlma01
Jakob Poeltl,C,26,SAS,68,1970,0.618,4.7,0.998,0.471,0.391,0.133,0.005,0.002,0.618,0.747,0.514,0.477,0.333,1.000,0.702,1.000,poeltja01
Aleksej Pokusevski,PF,20,OKC,61,1233,0.408,14.6,0.568,0.200,0.248,0.070,0.050,0.432,0.498,0.703,0.416,0.344,0.304,0.289,0.535,0.947,pokusal01
Yves Pons,SF,22,MEM,12,71,0.313,15.0,0.438,0.250,0.125,0.063,0.000,0.563,0.286,0.250,0.000,1.000,,0.333,0.000,1.000,ponsyv01
Jordan Poole,SG,22,GSW,76,2283,0.448,17.8,0.452,0.142,0.182,0.066,0.061,0.548,0.550,0.680,0.523,0.457,0.431,0.364,0.414,0.706,poolejo01
Kevin Porter Jr.,PG,21,HOU,61,1907,0.415,16.5,0.489,0.203,0.157,0.058,0.071,0.511,0.456,0.646,0.291,0.362,0.351,0.375,0.267,0.516,porteke02
Michael Porter Jr.,SF,23,DEN,9,265,0.359,17.2,0.534,0.165,0.097,0.107,0.165,0.466,0.491,0.706,0.300,0.273,0.529,0.208,0.704,0.900,portemi01
Otto Porter Jr.,PF,28,GSW,63,1396,0.464,16.7,0.481,0.161,0.163,0.087,0.070,0.519,0.565,0.746,0.515,0.444,0.414,0.370,0.735,0.950,porteot01
Bobby Portis,C,26,MIL,72,2028,0.479,14.5,0.612,0.219,0.185,0.126,0.082,0.388,0.533,0.644,0.497,0.455,0.437,0.393,0.556,1.000,portibo01
Kristaps Porziņģis,PF,26,TOT,51,1481,0.459,14.3,0.671,0.214,0.183,0.186,0.089,0.329,0.532,0.762,0.414,0.420,0.456,0.310,0.682,0.987,porzikr01
Micah Potter,C,23,DET,3,31,0.455,8.3,0.818,0.364,0.273,0.182,0.000,0.182,0.556,0.500,0.667,0.500,,0.000,0.600,,pottemi01
Dwight Powell,C,30,DAL,82,1798,0.671,4.6,0.908,0.708,0.160,0.020,0.020,0.092,0.703,0.792,0.422,0.375,0.125,0.351,0.855,1.000,poweldw01
Myles Powell,PG,24,PHI,11,52,0.294,13.5,0.647,0.353,0.176,0.000,0.118,0.353,0.364,0.667,0.000,,0.000,0.167,0.000,0.000,powelmy01
Norman Powell,SF-SG,28,TOT,45,1458,0.461,14.4,0.582,0.256,0.179,0.058,0.089,0.418,0.491,0.568,0.407,0.514,0.426,0.419,0.509,0.877,powelno01
Joshua Primo,SF,19,SAS,50,965,0.374,15.9,0.493,0.200,0.178,0.070,0.044,0.507,0.444,0.611,0.375,0.263,0.250,0.307,0.525,0.929,primojo01
Taurean Prince,PF,27,MIN,69,1177,0.454,17.2,0.413,0.174,0.138,0.062,0.038,0.587,0.565,0.676,0.463,0.625,0.333,0.376,0.692,0.942,princta02
Payton Pritchard,PG,24,BOS,71,1001,0.429,20.6,0.343,0.094,0.091,0.062,0.097,0.657,0.461,0.629,0.353,0.478,0.389,0.412,0.356,0.802,pritcpa01
Trevelin Queen,SG,24,HOU,10,74,0.455,19.6,0.273,0.242,0.030,0.000,0.000,0.727,0.667,0.750,0.000,,,0.375,0.500,0.556,queentr01
Neemias Queta,C,22,SAC,14,120,0.447,5.4,1.000,0.447,0.368,0.132,0.053,0.000,0.447,0.529,0.500,0.200,0.000,,0.647,,quetane01
Immanuel Quickley,PG,22,NYK,78,1802,0.392,18.4,0.453,0.090,0.167,0.130,0.066,0.547,0.448,0.631,0.421,0.404,0.354,0.346,0.299,0.526,quickim01
Jahmi'us Ramsey,SG,20,SAC,19,134,0.414,12.4,0.690,0.310,0.224,0.069,0.086,0.310,0.475,0.667,0.231,0.250,0.600,0.278,0.579,0.800,ramseja01
Julius Randle,PF,27,NYK,72,2544,0.411,13.8,0.687,0.254,0.152,0.137,0.144,0.313,0.458,0.627,0.368,0.374,0.335,0.308,0.362,0.800,randlju01
Austin Reaves,SG,23,LAL,61,1418,0.459,16.6,0.475,0.211,0.157,0.066,0.041,0.525,0.616,0.746,0.560,0.571,0.231,0.317,0.559,0.981,reaveau01
Cam Reddish,SF,22,TOT,49,1012,0.404,15.7,0.549,0.211,0.125,0.108,0.105,0.451,0.442,0.593,0.471,0.273,0.279,0.359,0.525,0.833,reddica01
Davon Reed,SG,26,DEN,48,668,0.503,18.0,0.466,0.099,0.161,0.075,0.130,0.534,0.587,0.688,0.500,0.583,0.619,0.430,0.591,0.919,reedda01
Paul Reed,C,22,PHI,38,302,0.563,5.4,0.917,0.625,0.219,0.042,0.031,0.083,0.591,0.767,0.190,0.250,0.333,0.250,0.577,1.000,reedpa01
Naz Reid,C,22,MIN,77,1215,0.489,10.6,0.651,0.399,0.244,0.008,0.000,0.349,0.568,0.684,0.379,0.500,,0.343,0.625,0.982,reidna01
Nick Richards,C,24,CHO,50,367,0.667,2.7,1.000,0.689,0.278,0.033,0.000,0.000,0.667,0.774,0.360,1.000,,,0.783,,richani01
Josh Richardson,SG,28,TOT,65,1600,0.438,17.2,0.539,0.109,0.154,0.178,0.099,0.461,0.458,0.655,0.390,0.432,0.396,0.415,0.477,0.990,richajo01
Austin Rivers,SG,29,DEN,67,1480,0.417,17.9,0.340,0.160,0.151,0.020,0.009,0.660,0.563,0.750,0.453,0.143,0.000,0.342,0.463,0.848,riverau01
Duncan Robinson,SG,27,MIA,79,2043,0.399,22.7,0.140,0.077,0.039,0.012,0.012,0.860,0.569,0.679,0.393,0.556,0.444,0.372,0.828,0.961,robindu01
Justin Robinson,PG,24,TOT,25,304,0.301,21.4,0.344,0.065,0.075,0.118,0.086,0.656,0.313,0.833,0.143,0.182,0.250,0.295,0.200,0.778,robinju01
Mitchell Robinson,C,23,NYK,72,1848,0.761,1.2,1.000,0.918,0.082,0.000,0.000,0.000,0.761,0.781,0.536,,,,0.517,,robinmi01
Jeremiah Robinson-Earl,C,21,OKC,49,1087,0.414,15.3,0.491,0.244,0.151,0.062,0.034,0.509,0.478,0.608,0.429,0.200,0.273,0.352,0.750,1.000,robinje02
Isaiah Roby,PF,23,OKC,45,948,0.514,10.8,0.693,0.319,0.328,0.031,0.015,0.307,0.545,0.699,0.425,0.300,0.400,0.444,0.689,0.909,robyis01
Rajon Rondo,PG,35,TOT,39,697,0.386,16.1,0.500,0.222,0.170,0.091,0.017,0.500,0.420,0.641,0.233,0.313,0.000,0.352,0.081,0.839,rondora01
Derrick Rose,PG,33,NYK,26,636,0.445,13.4,0.664,0.245,0.230,0.088,0.102,0.336,0.467,0.582,0.508,0.292,0.250,0.402,0.259,0.757,rosede01
Terrence Ross,SG,30,ORL,63,1448,0.397,18.0,0.523,0.108,0.125,0.155,0.135,0.477,0.493,0.700,0.435,0.523,0.347,0.292,0.524,0.779,rosste01
Terry Rozier,SG,27,CHO,73,2458,0.444,16.4,0.492,0.181,0.165,0.082,0.064,0.508,0.516,0.649,0.396,0.521,0.440,0.374,0.439,0.838,roziete01
