Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
Ricky Rubio,PG,31,CLE,34,970,0.363,15.4,0.577,0.197,0.165,0.136,0.078,0.423,0.380,0.481,0.294,0.375,0.313,0.339,0.256,0.661,rubiori01
D'Angelo Russell,PG,25,MIN,65,2077,0.411,18.2,0.469,0.128,0.128,0.104,0.109,0.531,0.492,0.696,0.392,0.465,0.396,0.340,0.280,0.631,russeda01
Matt Ryan,SF,24,BOS,1,5,0.200,25.6,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.200,,1.000,ryanma01
Domantas Sabonis,PF-C,25,TOT,62,2136,0.573,7.6,0.838,0.485,0.265,0.047,0.041,0.162,0.623,0.739,0.517,0.389,0.219,0.312,0.616,0.974,sabondo01
Olivier Sarr,C,22,OKC,22,421,0.574,10.8,0.713,0.238,0.396,0.069,0.010,0.287,0.625,0.667,0.575,0.857,0.000,0.448,0.778,1.000,sarrol01
Tomáš Satoranský,SG-PG-SF,30,TOT,55,906,0.377,13.0,0.723,0.241,0.236,0.152,0.094,0.277,0.442,0.630,0.333,0.379,0.333,0.208,0.443,1.000,satorto01
Jordan Schakel,SG,23,WAS,4,30,0.091,17.8,0.455,0.091,0.273,0.000,0.091,0.545,0.000,0.000,0.000,,0.000,0.167,,1.000,schakjo01
Admiral Schofield,SF,24,ORL,38,469,0.419,17.6,0.388,0.147,0.209,0.023,0.008,0.612,0.560,0.632,0.481,0.667,1.000,0.329,0.714,0.962,schofad01
Dennis Schröder,SG-PG,28,TOT,64,1837,0.431,14.7,0.655,0.169,0.228,0.126,0.133,0.345,0.477,0.639,0.442,0.374,0.427,0.344,0.265,0.721,schrode01
Tre Scott,SF,25,CLE,2,11,0.500,8.2,0.833,0.500,0.167,0.167,0.000,0.167,0.600,0.667,1.000,0.000,,0.000,0.667,,scotttr01
Jay Scrubb,SG,21,LAC,18,121,0.391,16.2,0.543,0.239,0.087,0.130,0.087,0.457,0.480,0.545,0.500,0.500,0.250,0.286,0.333,0.667,scrubja01
Wayne Selden,SG,27,NYK,3,19,0.250,15.9,0.500,0.000,0.500,0.000,0.000,0.500,0.000,,0.000,,,0.500,,1.000,seldewa01
Alperen Şengün,C,19,HOU,72,1489,0.474,9.0,0.777,0.429,0.297,0.042,0.010,0.223,0.539,0.671,0.385,0.318,0.400,0.248,0.436,0.966,sengual01
Collin Sexton,SG,23,CLE,11,316,0.450,11.8,0.702,0.305,0.258,0.066,0.073,0.298,0.538,0.739,0.385,0.400,0.364,0.244,0.421,0.818,sextoco01
Landry Shamet,SG,24,PHO,69,1437,0.394,20.0,0.311,0.089,0.109,0.058,0.056,0.689,0.450,0.628,0.340,0.393,0.444,0.368,0.603,0.951,shamela01
Day'Ron Sharpe,PF,20,BRK,32,391,0.577,3.2,0.953,0.772,0.161,0.020,0.000,0.047,0.592,0.652,0.333,0.333,,0.286,0.595,1.000,sharpda01
Pascal Siakam,PF,27,TOR,68,2578,0.494,11.2,0.819,0.216,0.340,0.132,0.132,0.181,0.527,0.716,0.498,0.447,0.371,0.344,0.292,0.947,siakapa01
Chris Silva,PF,25,TOT,10,91,0.533,4.0,1.000,0.533,0.400,0.000,0.067,0.000,0.533,0.750,0.333,,0.000,,0.750,,silvach01
Marko Simonovic,C,22,CHI,9,35,0.267,12.2,0.667,0.333,0.200,0.000,0.133,0.333,0.300,0.600,0.000,,0.000,0.200,0.667,1.000,simonma01
Anfernee Simons,SG,22,POR,57,1681,0.443,19.0,0.445,0.113,0.118,0.109,0.105,0.555,0.490,0.567,0.489,0.483,0.417,0.405,0.195,0.654,simonan01
Zavier Simpson,PG,24,OKC,4,174,0.365,9.1,0.846,0.250,0.442,0.096,0.058,0.154,0.409,0.538,0.391,0.400,0.000,0.125,0.222,1.000,simpsza01
Jericho Sims,PF,23,NYK,41,555,0.722,2.0,1.000,0.815,0.148,0.037,0.000,0.000,0.722,0.795,0.500,0.000,,,0.795,,simsje01
Deividas Sirvydis,SG,21,DET,3,27,0.100,19.4,0.300,0.200,0.100,0.000,0.000,0.700,0.000,0.000,0.000,,,0.143,,1.000,sirvyde01
Javonte Smart,PG,22,TOT,17,200,0.317,16.3,0.550,0.183,0.167,0.133,0.067,0.450,0.333,0.545,0.300,0.125,0.250,0.296,0.364,0.875,smartja01
Marcus Smart,PG,27,BOS,71,2296,0.418,16.1,0.499,0.146,0.251,0.075,0.026,0.501,0.506,0.695,0.439,0.500,0.105,0.331,0.365,0.916,smartma01
Dennis Smith Jr.,PG,24,POR,37,638,0.418,9.0,0.857,0.354,0.307,0.090,0.106,0.143,0.451,0.522,0.431,0.235,0.450,0.222,0.329,0.500,smithde03
Ish Smith,PG,33,TOT,65,1126,0.430,13.3,0.844,0.200,0.172,0.205,0.267,0.156,0.441,0.500,0.392,0.364,0.487,0.373,0.181,0.720,smithis01
Jalen Smith,PF,21,TOT,51,925,0.503,12.4,0.651,0.291,0.246,0.063,0.051,0.349,0.596,0.765,0.500,0.364,0.389,0.328,0.721,1.000,smithja04
Xavier Sneed,SF,24,TOT,9,39,0.200,20.9,0.200,0.100,0.000,0.100,0.000,0.800,0.500,1.000,,0.000,,0.125,0.000,1.000,sneedxa01
Tony Snell,SG,30,TOT,53,823,0.404,20.0,0.251,0.105,0.094,0.035,0.018,0.749,0.558,0.722,0.375,0.500,0.667,0.352,0.750,0.956,snellto01
Jaden Springer,SG,19,PHI,2,6,1.000,9.1,1.000,0.000,1.000,0.000,0.000,0.000,1.000,,1.000,,,,0.000,,sprinja01
Cassius Stanley,SG,22,DET,9,155,0.413,12.5,0.630,0.152,0.413,0.043,0.022,0.370,0.517,0.571,0.526,0.500,0.000,0.235,0.600,1.000,stanlca01
Nik Stauskas,SG,28,TOT,8,39,0.357,20.7,0.286,0.071,0.071,0.071,0.071,0.714,0.250,0.000,0.000,1.000,0.000,0.400,1.000,0.750,stausni01
Lance Stephenson,PG-SG,31,TOT,46,814,0.455,14.3,0.721,0.220,0.164,0.080,0.257,0.279,0.515,0.662,0.547,0.423,0.398,0.300,0.200,0.593,stephla01
Lamar Stevens,PF,24,CLE,63,1015,0.489,9.9,0.796,0.382,0.201,0.125,0.088,0.204,0.543,0.730,0.266,0.475,0.464,0.277,0.601,1.000,stevela01
Isaiah Stewart,C,20,DET,71,1816,0.510,5.6,0.906,0.584,0.243,0.039,0.041,0.094,0.529,0.591,0.445,0.158,0.500,0.326,0.689,0.933,stewais01
Max Strus,SF,25,MIA,68,1587,0.441,21.1,0.216,0.135,0.053,0.016,0.012,0.784,0.557,0.658,0.433,0.222,0.429,0.410,0.779,0.956,strusma01
Jalen Suggs,PG,20,ORL,48,1307,0.361,13.3,0.642,0.263,0.245,0.069,0.066,0.358,0.443,0.611,0.313,0.395,0.306,0.214,0.365,0.667,suggsja01
Craig Sword,SG,28,WAS,3,19,0.750,7.0,0.750,0.750,0.000,0.000,0.000,0.250,1.000,1.000,,,,0.000,1.000,,swordcr01
Keifer Sykes,PG,28,IND,32,566,0.363,17.3,0.526,0.168,0.079,0.116,0.163,0.474,0.420,0.688,0.333,0.182,0.355,0.300,0.429,0.889,sykeske01
Jae'Sean Tate,PF,26,HOU,78,2056,0.498,9.2,0.723,0.414,0.295,0.010,0.004,0.277,0.569,0.705,0.391,0.286,0.333,0.312,0.490,0.937,tateja01
Jayson Tatum,SF,23,BOS,76,2731,0.453,15.2,0.584,0.220,0.176,0.088,0.100,0.416,0.524,0.741,0.413,0.328,0.410,0.353,0.429,0.565,tatumja01
Terry Taylor,PF,22,IND,33,714,0.614,7.2,0.827,0.482,0.282,0.045,0.018,0.173,0.676,0.755,0.565,0.600,0.500,0.316,0.667,0.917,taylote01
Garrett Temple,SG,35,NOP,59,1098,0.376,18.1,0.373,0.180,0.071,0.071,0.051,0.627,0.473,0.642,0.429,0.238,0.267,0.319,0.635,0.983,templga01
Emanuel Terry,PF,25,PHO,3,18,0.000,2.2,1.000,0.600,0.400,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,terryem01
Tyrell Terry,PG,21,MEM,2,3,1.000,15.2,1.000,0.000,0.000,1.000,0.000,0.000,1.000,,,1.000,,,0.000,,terryty01
Jon Teske,C,24,MEM,3,8,0.000,15.5,1.000,0.000,0.000,1.000,0.000,0.000,0.000,,,0.000,,,,,teskejo01
Daniel Theis,C,29,TOT,47,977,0.519,12.4,0.632,0.378,0.134,0.076,0.045,0.368,0.641,0.745,0.590,0.364,0.385,0.308,0.797,0.970,theisda01
Brodric Thomas,SG,25,BOS,12,60,0.444,14.5,0.500,0.389,0.111,0.000,0.000,0.500,0.667,0.857,0.000,,,0.222,0.833,0.500,thomabr01
Cam Thomas,SG,20,BRK,67,1176,0.433,16.0,0.654,0.107,0.145,0.250,0.151,0.346,0.520,0.574,0.521,0.548,0.434,0.270,0.415,0.702,thomaca02
Isaiah Thomas,PG,32,TOT,22,333,0.401,16.8,0.503,0.126,0.180,0.132,0.066,0.497,0.464,0.571,0.233,0.636,0.545,0.337,0.487,0.786,thomais02
Matt Thomas,SG,27,CHI,40,459,0.410,22.6,0.321,0.007,0.015,0.082,0.216,0.679,0.465,1.000,0.000,0.273,0.552,0.385,0.850,0.886,thomama02
Klay Thompson,SG,31,GSW,32,941,0.429,18.9,0.483,0.061,0.129,0.162,0.131,0.517,0.477,0.714,0.486,0.409,0.440,0.385,0.636,0.886,thompkl01
Tristan Thompson,PF,30,TOT,57,897,0.528,4.3,0.989,0.487,0.464,0.034,0.004,0.011,0.530,0.608,0.452,0.556,0.000,0.333,0.657,1.000,thomptr01
JT Thor,PF,19,CHO,33,262,0.436,15.8,0.509,0.255,0.127,0.073,0.055,0.491,0.607,0.786,0.429,0.250,0.667,0.259,0.706,1.000,thorjt01
Matisse Thybulle,SG,24,PHI,66,1685,0.500,13.1,0.520,0.407,0.097,0.017,0.000,0.480,0.673,0.795,0.276,0.000,,0.313,0.733,0.956,thybuma01
Killian Tillie,C,23,MEM,36,461,0.339,18.7,0.323,0.126,0.157,0.039,0.000,0.677,0.390,0.688,0.200,0.200,,0.314,0.625,0.963,tilliki02
Xavier Tillman Sr.,PF,23,MEM,53,701,0.454,9.6,0.773,0.389,0.245,0.106,0.032,0.227,0.527,0.595,0.472,0.478,0.286,0.204,0.670,0.900,tillmxa01
Isaiah Todd,PF,20,WAS,12,74,0.269,18.0,0.385,0.154,0.115,0.077,0.038,0.615,0.300,0.250,0.333,0.000,1.000,0.250,0.667,1.000,toddis01
Obi Toppin,PF,23,NYK,72,1230,0.531,10.5,0.643,0.505,0.108,0.017,0.013,0.357,0.655,0.728,0.392,0.375,0.333,0.308,0.824,1.000,toppiob01
Juan Toscano-Anderson,SF,28,GSW,73,994,0.489,11.7,0.630,0.328,0.277,0.013,0.013,0.370,0.588,0.662,0.538,0.000,0.333,0.322,0.690,0.857,toscaju01
Karl-Anthony Towns,C,26,MIN,74,2476,0.529,11.5,0.699,0.333,0.255,0.049,0.062,0.301,0.580,0.688,0.537,0.350,0.360,0.410,0.537,0.887,townska01
Gary Trent Jr.,SG,23,TOR,70,2448,0.414,18.5,0.498,0.087,0.131,0.113,0.167,0.502,0.445,0.579,0.415,0.480,0.376,0.383,0.411,0.766,trentga02
P.J. Tucker,PF,36,MIA,71,1981,0.484,13.8,0.549,0.199,0.255,0.079,0.016,0.451,0.540,0.600,0.532,0.471,0.286,0.415,0.819,0.988,tuckepj01
Rayjon Tucker,SG,24,TOT,5,71,0.667,18.2,0.444,0.222,0.000,0.111,0.111,0.556,0.500,1.000,,0.000,0.000,0.800,0.000,0.500,tuckera01
Myles Turner,C,25,IND,42,1235,0.509,14.8,0.534,0.242,0.216,0.048,0.028,0.466,0.662,0.789,0.565,0.526,0.545,0.333,0.683,1.000,turnemy01
Jonas Valančiūnas,C,29,NOP,74,2240,0.544,9.1,0.832,0.333,0.324,0.132,0.043,0.168,0.581,0.696,0.520,0.484,0.450,0.361,0.627,0.982,valanjo01
Denzel Valentine,SG,28,TOT,24,222,0.379,20.6,0.288,0.061,0.091,0.106,0.030,0.712,0.316,0.750,0.333,0.143,0.000,0.404,0.333,0.895,valende01
Jarred Vanderbilt,PF,22,MIN,74,1880,0.587,3.1,0.961,0.726,0.211,0.022,0.003,0.039,0.605,0.710,0.289,0.250,0.000,0.143,0.690,1.000,vandeja01
Fred VanVleet,PG,27,TOR,65,2462,0.403,19.9,0.415,0.086,0.122,0.091,0.116,0.585,0.440,0.649,0.313,0.410,0.441,0.377,0.225,0.595,vanvlfr01
Devin Vassell,SF,21,SAS,71,1937,0.427,17.3,0.503,0.131,0.126,0.151,0.096,0.497,0.492,0.670,0.448,0.417,0.425,0.361,0.672,0.971,vassede01
Gabe Vincent,PG,25,MIA,68,1589,0.417,19.5,0.370,0.138,0.078,0.082,0.072,0.630,0.500,0.563,0.475,0.524,0.378,0.368,0.400,0.798,vincega01
Nikola Vučević,C,31,CHI,73,2418,0.473,13.0,0.713,0.223,0.253,0.137,0.101,0.287,0.537,0.708,0.490,0.449,0.397,0.314,0.713,1.000,vucevni01
Dean Wade,PF,25,CLE,51,980,0.456,18.3,0.346,0.198,0.055,0.069,0.023,0.654,0.640,0.767,0.500,0.267,1.000,0.359,0.563,0.980,wadede01
Franz Wagner,SF,20,ORL,79,2429,0.468,10.4,0.722,0.295,0.367,0.043,0.016,0.278,0.511,0.625,0.455,0.310,0.250,0.354,0.531,0.833,wagnefr01
Moritz Wagner,C,24,ORL,63,960,0.497,14.4,0.492,0.316,0.169,0.000,0.008,0.508,0.672,0.752,0.552,,0.000,0.328,0.763,0.985,wagnemo01
Ish Wainright,PF,27,PHO,45,359,0.394,15.8,0.433,0.231,0.163,0.019,0.019,0.567,0.489,0.708,0.294,0.000,0.000,0.322,0.636,1.000,wainris01
Kemba Walker,PG,31,NYK,37,948,0.403,18.0,0.462,0.138,0.130,0.084,0.111,0.538,0.444,0.569,0.375,0.323,0.463,0.367,0.211,0.507,walkeke02
Lonnie Walker IV,SG,23,SAS,70,1612,0.407,17.0,0.538,0.166,0.122,0.093,0.157,0.462,0.487,0.693,0.430,0.366,0.383,0.314,0.540,0.856,walkelo01
M.J. Walker,SG,23,PHO,2,8,0.000,15.4,0.500,0.250,0.250,0.000,0.000,0.500,0.000,0.000,0.000,,,0.000,,,walkemj01
Tyrone Wallace,SG,27,NOP,6,75,0.350,13.0,0.600,0.350,0.150,0.050,0.050,0.400,0.417,0.714,0.000,0.000,0.000,0.250,1.000,1.000,wallaty01
Derrick Walton,PG,26,DET,3,108,0.231,18.1,0.500,0.077,0.192,0.038,0.192,0.500,0.231,0.500,0.200,0.000,0.200,0.231,0.000,1.000,waltode01
Brad Wanamaker,PG,32,TOT,23,320,0.364,13.4,0.779,0.208,0.208,0.169,0.195,0.221,0.400,0.438,0.438,0.462,0.267,0.235,0.458,1.000,wanambr01
Duane Washington Jr.,PG,21,IND,48,968,0.405,16.3,0.496,0.201,0.155,0.080,0.061,0.504,0.434,0.535,0.379,0.353,0.346,0.377,0.522,0.926,washidu02
P.J. Washington,C,23,CHO,65,1768,0.470,15.8,0.434,0.286,0.132,0.015,0.002,0.566,0.606,0.711,0.400,0.500,0.000,0.365,0.793,0.973,washipj01
Yuta Watanabe,SF,27,TOR,38,445,0.406,17.2,0.428,0.167,0.130,0.101,0.029,0.572,0.492,0.565,0.333,0.571,0.500,0.342,0.655,1.000,watanyu01
Lindy Waters III,SG,24,OKC,25,465,0.406,22.4,0.166,0.040,0.097,0.023,0.006,0.834,0.621,0.714,0.647,0.250,1.000,0.363,0.722,0.887,waterli01
Tremont Waters,PG,24,TOT,3,50,0.286,22.7,0.357,0.000,0.143,0.143,0.071,0.643,0.400,,0.500,0.500,0.000,0.222,0.000,0.500,watertr01
Trendon Watford,SF,21,POR,48,869,0.532,8.0,0.858,0.371,0.337,0.135,0.015,0.142,0.581,0.768,0.478,0.361,0.250,0.237,0.579,0.889,watfotr01
Paul Watson,SF,27,OKC,9,156,0.343,19.7,0.257,0.114,0.114,0.029,0.000,0.743,0.667,0.750,0.500,1.000,,0.231,0.500,1.000,watsopa01
Quinndary Weatherspoon,SG,25,GSW,11,73,0.571,8.5,0.762,0.476,0.238,0.048,0.000,0.238,0.688,0.800,0.600,0.000,,0.200,0.818,1.000,weathqu01
Russell Westbrook,PG,33,LAL,78,2678,0.444,10.8,0.785,0.333,0.232,0.106,0.114,0.215,0.485,0.623,0.388,0.374,0.379,0.298,0.232,0.646,westbru01
Coby White,PG,21,CHI,61,1675,0.433,17.4,0.452,0.183,0.130,0.065,0.073,0.548,0.491,0.661,0.357,0.381,0.404,0.385,0.420,0.897,whiteco01
Derrick White,SG,27,TOT,75,2199,0.421,15.4,0.539,0.159,0.231,0.120,0.029,0.461,0.515,0.614,0.503,0.479,0.217,0.312,0.401,0.835,whitede01
Hassan Whiteside,C,32,UTA,65,1162,0.652,3.8,1.000,0.552,0.376,0.058,0.015,0.000,0.652,0.802,0.516,0.263,0.000,,0.637,,whiteha01
Joe Wieskamp,SG,22,SAS,29,205,0.357,21.5,0.232,0.071,0.054,0.036,0.071,0.768,0.462,0.750,0.333,0.500,0.250,0.326,0.500,0.929,wieskjo01
Aaron Wiggins,SG,23,OKC,50,1209,0.463,12.7,0.591,0.249,0.318,0.018,0.006,0.409,0.573,0.655,0.514,0.500,0.500,0.304,0.561,0.976,wiggiaa01
Andrew Wiggins,SF,26,GSW,73,2329,0.466,14.9,0.608,0.161,0.242,0.094,0.111,0.392,0.513,0.732,0.490,0.365,0.372,0.393,0.497,0.898,wiggian01
Lindell Wigginton,PG,23,MIL,19,199,0.426,12.7,0.574,0.377,0.180,0.016,0.000,0.426,0.486,0.609,0.273,0.000,,0.346,0.765,1.000,wiggili01
Brandon Williams,PG,22,POR,24,640,0.372,14.1,0.624,0.259,0.184,0.099,0.082,0.376,0.420,0.507,0.327,0.429,0.348,0.292,0.311,0.710,willibr03
Grant Williams,PF,23,BOS,77,1875,0.475,16.6,0.403,0.185,0.169,0.035,0.014,0.597,0.569,0.750,0.493,0.133,0.167,0.411,0.717,0.991,willigr01
Kenrich Williams,SF,27,OKC,49,1072,0.461,13.7,0.618,0.243,0.224,0.079,0.073,0.382,0.536,0.649,0.479,0.480,0.391,0.339,0.590,0.829,willike04
Lou Williams,PG,35,ATL,56,799,0.391,15.3,0.681,0.116,0.159,0.244,0.163,0.319,0.404,0.514,0.392,0.372,0.385,0.363,0.341,0.730,willilo02
Patrick Williams,PF,20,CHI,17,422,0.529,13.2,0.716,0.275,0.147,0.108,0.186,0.284,0.534,0.714,0.400,0.545,0.368,0.517,0.667,0.933,willipa01
Robert Williams,C,24,BOS,61,1804,0.736,2.4,0.997,0.772,0.198,0.014,0.014,0.003,0.738,0.792,0.589,0.200,0.400,0.000,0.694,,williro04
Ziaire Williams,SF,20,MEM,62,1346,0.450,17.2,0.429,0.179,0.108,0.083,0.059,0.571,0.632,0.855,0.478,0.343,0.640,0.314,0.800,0.961,willizi02
D.J. Wilson,PF,25,TOR,4,54,0.733,9.6,0.867,0.400,0.133,0.200,0.133,0.133,0.846,1.000,0.500,0.667,1.000,0.000,0.727,,wilsodj01
Dylan Windler,SF,25,CLE,50,459,0.378,18.7,0.286,0.194,0.082,0.010,0.000,0.714,0.571,0.632,0.500,0.000,,0.300,0.813,0.952,windldy01
Justise Winslow,PF,25,TOT,48,774,0.428,10.7,0.743,0.354,0.257,0.070,0.062,0.257,0.497,0.681,0.379,0.222,0.250,0.227,0.695,1.000,winslju01
Cassius Winston,PG,23,WAS,7,39,0.364,19.1,0.455,0.091,0.091,0.182,0.091,0.545,0.400,0.000,0.000,0.500,1.000,0.333,0.500,1.000,winstca01
Christian Wood,C,26,HOU,68,2094,0.501,13.0,0.617,0.312,0.211,0.054,0.041,0.383,0.570,0.737,0.454,0.340,0.194,0.390,0.605,0.847,woodch01
Robert Woodard II,SF,22,SAC,12,42,0.125,12.7,0.750,0.188,0.250,0.125,0.188,0.250,0.083,0.333,0.000,0.000,0.000,0.250,1.000,1.000,woodaro01
Delon Wright,SG,29,ATL,77,1452,0.454,14.1,0.569,0.294,0.190,0.045,0.041,0.431,0.510,0.620,0.412,0.250,0.455,0.379,0.449,0.818,wrighde01
McKinley Wright IV,PG,23,MIN,5,19,0.667,19.3,0.333,0.000,0.333,0.000,0.000,0.667,1.000,,1.000,,,0.500,0.000,0.000,wrighmc01
Moses Wright,PF,23,TOT,4,14,0.250,13.2,0.750,0.250,0.000,0.500,0.000,0.250,0.333,1.000,,0.000,,0.000,1.000,,wrighmo01
Gabe York,SG,28,IND,2,21,0.286,22.4,0.143,0.000,0.143,0.000,0.000,0.857,1.000,,1.000,,,0.167,1.000,1.000,yorkga01
Thaddeus Young,PF,33,TOT,52,845,0.518,7.7,0.824,0.382,0.393,0.026,0.022,0.176,0.554,0.625,0.523,0.286,0.167,0.354,0.524,1.000,youngth01
Trae Young,PG,23,ATL,76,2652,0.460,16.5,0.605,0.159,0.204,0.116,0.126,0.395,0.512,0.620,0.451,0.469,0.513,0.382,0.142,0.223,youngtr01
Omer Yurtseven,C,23,MIA,56,706,0.526,5.8,0.955,0.437,0.385,0.113,0.020,0.045,0.547,0.722,0.432,0.357,0.000,0.091,0.783,1.000,yurtsom01
Cody Zeller,C,29,POR,27,355,0.567,3.7,0.956,0.644,0.267,0.033,0.011,0.044,0.593,0.621,0.542,0.333,1.000,0.000,0.725,,zelleco01
Ivica Zubac,C,24,LAC,76,1852,0.626,3.4,1.000,0.580,0.382,0.032,0.006,0.000,0.626,0.714,0.508,0.500,0.333,,0.719,,zubaciv01